vType_id;vType_vClass;trip_depart;trip_departLane;trip_departSpeed;trip_from;trip_id;trip_to;trip_type
;;1.55;best;max;-1201138581;veh32;802127533#2;veh_passenger
;;1.60;best;;229907580#6;veh33;-841961377#2;veh_passenger
;;1.65;best;;1047458866#1;veh34;1046119835#1;veh_passenger
;;1.70;best;;335291232#1;veh35;1052742415;veh_passenger
;;1.75;best;max;-1218447425;veh36;-318106703#4;veh_passenger
;;1.80;best;;-78594910#4;veh37;-354997517#6;veh_passenger
;;1.84;best;;-902524004#3;veh38;446680163#2;veh_passenger
;;1.89;best;max;-1389245684#1;veh39;-219225823#5;veh_passenger
;;1.94;best;;988505715#1;veh40;1055299294;veh_passenger
;;1.99;best;max;-1049877261;veh41;-1050214875#2;veh_passenger
;;2.04;best;;-1051068192#1;veh42;1219085704#1;veh_passenger
;;2.09;best;;1369859087#1;veh43;1049847058#1;veh_passenger
;;2.14;best;;-1046478131#1;veh44;1044570812#2;veh_passenger
;;2.18;best;max;987968757#0;veh45;1084004616#1;veh_passenger
;;2.23;best;;802127535#0;veh46;318106704#13;veh_passenger
;;2.28;best;max;-1042245456;veh47;1383929086;veh_passenger
;;2.33;best;;1054991206#0;veh48;1089022995#14;veh_passenger
;;2.38;best;max;-1218977701;veh49;1266170529#2;veh_passenger
;;2.43;best;max;-1051074687#2;veh50;1050015302#1;veh_passenger
;;2.48;best;;-176068428#1;veh51;849848492#2;veh_passenger
;;2.52;best;;229907580#11;veh52;-355210811;veh_passenger
;;2.57;best;;-325440945#2;veh53;-1388478920;veh_passenger
;;2.62;best;;329454939#2;veh54;322244195#1;veh_passenger
;;2.67;best;;-1303486792;veh55;1266139207#1;veh_passenger
;;2.72;best;max;-988553275;veh56;-1358318481;veh_passenger
;;2.77;best;max;1220230511;veh57;1090970143;veh_passenger
;;2.82;best;;132061353#2;veh58;1084036066;veh_passenger
;;2.86;best;max;-1008370364#1;veh59;-902926785#0;veh_passenger
;;2.91;best;;-1042848924#4;veh60;680950028#19;veh_passenger
;;2.96;best;max;231218707#0;veh61;221615237#1;veh_passenger
;;3.01;best;;-132070871#2;veh62;-1054356716#0;veh_passenger
;;3.06;best;;229908904#0;veh63;825108510#10;veh_passenger
;;3.11;best;;-1049862885#0;veh64;1054406177;veh_passenger
;;3.16;best;;-1046565679;veh65;1389977972;veh_passenger
;;3.20;best;max;1226409522#0;veh66;-1218994061#1;veh_passenger
;;3.25;best;max;-239454854;veh67;1148741059;veh_passenger
;;3.30;best;;-1218448048#0;veh68;325440938#4;veh_passenger
;;3.35;best;max;-1394468703;veh69;-184165616#13;veh_passenger
;;3.40;best;;-585728601#0;veh70;1385707665;veh_passenger
;;3.45;best;;-1104849508;veh71;-815459479#13;veh_passenger
;;3.50;best;;981521530#10;veh72;1317499668;veh_passenger
;;3.54;best;;-158315143#19;veh73;1071865180#1;veh_passenger
;;3.59;best;;-1053583782;veh74;-221202411#3;veh_passenger
;;3.64;best;max;-1380184329#1;veh75;1217035437#0;veh_passenger
;;3.69;best;max;-1216158228#1;veh76;-219289277#4;veh_passenger
;;3.74;best;;-1046874215#1;veh77;1224696689;veh_passenger
;;3.79;best;max;-1216004326;veh78;491121446;veh_passenger
;;3.84;best;;188038438#6;veh79;-1071865174;veh_passenger
;;3.88;best;max;-1217028201;veh80;1368302644;veh_passenger
;;3.93;best;max;-1212723859;veh81;-1219041100#0;veh_passenger
;;3.98;best;;446711230#0;veh82;1215345233;veh_passenger
;;4.03;best;;-231770256#9;veh83;1431977793;veh_passenger
;;4.08;best;;1383686360;veh84;-155831668#13;veh_passenger
;;4.13;best;max;-1050106335;veh85;1049877279;veh_passenger
;;4.17;best;max;-1394479824#1;veh86;1053935174#4;veh_passenger
;;4.22;best;;1216158227;veh87;1369420165;veh_passenger
;;4.27;best;;898458098#1;veh88;-1214955154#0;veh_passenger
;;4.32;best;max;-1389812969;veh89;1041999194#7;veh_passenger
;;4.37;best;;199043536#2;veh90;-319584658#13;veh_passenger
;;4.42;best;;-1085063253;veh91;1051068191;veh_passenger
;;4.47;best;max;-1393453469;veh92;-446680163#1;veh_passenger
;;4.51;best;max;-1217168947;veh93;630629349#4;veh_passenger
;;4.56;best;;-158370288#24;veh94;318725571#3;veh_passenger
;;4.61;best;max;-680950031#10;veh95;-1051023026;veh_passenger
;;4.66;best;;988553279;veh96;229908894#3;veh_passenger
;;4.71;best;;762849784#1;veh97;673944900#2;veh_passenger
;;4.76;best;;162235576#1;veh98;-1381084646;veh_passenger
;;4.81;best;;-284046152#0;veh99;-187802010#7;veh_passenger
;;4.85;best;max;-1389712480;veh100;-1054398993#1;veh_passenger
;;4.90;best;max;-1385761625;veh101;988505711;veh_passenger
;;4.95;best;max;-1218448829;veh102;1430551994;veh_passenger
;;5.00;best;;-184165616#5;veh103;1049852859;veh_passenger
;;5.05;best;;634859868#8;veh104;988553249;veh_passenger
;;5.10;best;;-689730976#17;veh105;1383917760;veh_passenger
;;5.15;best;max;-1055070700;veh106;-630625585#4;veh_passenger
;;5.19;best;;-626720915#3;veh107;1388179751;veh_passenger
;;5.24;best;max;-1046119824#1;veh108;1217027907;veh_passenger
;;5.29;best;;-354298464#2;veh109;27191050#3;veh_passenger
;;5.34;best;max;-1055088779#1;veh110;898458084#1;veh_passenger
;;5.39;best;max;-1049134505;veh111;-1393490333#5;veh_passenger
;;5.44;best;max;-988203016;veh112;1369859094#4;veh_passenger
;;5.49;best;;26514959#15;veh113;-318106697#14;veh_passenger
;;5.53;best;max;-988203007;veh114;1219040319#1;veh_passenger
;;5.58;best;max;-1392302116;veh115;1216993023;veh_passenger
;;5.63;best;;-442582335#4;veh116;684346454;veh_passenger
;;5.68;best;max;-1130590863;veh117;1383759243;veh_passenger
;;5.73;best;max;-1217028414;veh118;1046119841#1;veh_passenger
;;5.78;best;max;-1366729339;veh119;1388731582#3;veh_passenger
;;5.83;best;max;-1046958054;veh120;1052737791;veh_passenger
;;5.87;best;;988530923#0;veh121;988553257;veh_passenger
;;5.92;best;max;-1047092720;veh122;-187799865#4;veh_passenger
;;5.97;best;max;-1218448829;veh123;684342106#2;veh_passenger
;;6.02;best;;232973992#0;veh124;355210813;veh_passenger
;;6.07;best;;-1384917997#3;veh125;-1369684604#1;veh_passenger
;;6.12;best;;156020180#7;veh126;1382279710;veh_passenger
;;6.17;best;;1041902109;veh127;988505737;veh_passenger
;;6.21;best;max;1047086884#0;veh128;-1042418415#5;veh_passenger
;;6.26;best;;1388167656;veh129;-677939256#4;veh_passenger
;;6.31;best;;1049877280#1;veh130;695580799;veh_passenger
;;6.36;best;max;-1054260705;veh131;-1217164032;veh_passenger
;;6.41;best;max;-1051010635#1;veh132;1189020226#1;veh_passenger
;;6.46;best;max;-1218994330#3;veh133;1217255374;veh_passenger
;;6.51;best;;1211536001;veh134;-158711852#22;veh_passenger
;;6.55;best;;1043849481;veh135;-355210818#11;veh_passenger
;;6.60;best;;-318106697#4;veh136;487460817#2;veh_passenger
;;6.65;best;max;158711852#0;veh137;-1210294412#1;veh_passenger
;;6.70;best;max;-1394479824#1;veh138;-404799259#0;veh_passenger
;;6.75;best;max;-1041989466;veh139;1391523378#0;veh_passenger
;;6.80;best;max;1044462514;veh140;-354997506#1;veh_passenger
;;6.85;best;max;1217163571;veh141;1152950802#0;veh_passenger
;;6.89;best;max;-1431980411;veh142;-1042674619#0;veh_passenger
;;6.94;best;;-1047637743;veh143;355214600#3;veh_passenger
;;6.99;best;;319899823#9;veh144;1107336131;veh_passenger
;;7.04;best;;156032734#3;veh145;1216919423;veh_passenger
;;7.09;best;max;-1054632987#1;veh146;-1218993772;veh_passenger
;;7.14;best;;-132071734#1;veh147;446709229#13;veh_passenger
;;7.18;best;;1370507916#2;veh148;318106704#0;veh_passenger
;;7.23;best;;315595435#2;veh149;-172366588#7;veh_passenger
;;7.28;best;max;-1217168864#1;veh150;-1216158218#5;veh_passenger
;;7.33;best;;132070852#1;veh151;355391676#2;veh_passenger
;;7.38;best;max;-1390070330;veh152;1219040369#1;veh_passenger
;;7.43;best;max;-1055070694;veh153;680964666#15;veh_passenger
;;7.48;best;max;218857109#0;veh154;922333623#0;veh_passenger
;;7.52;best;;1384235291#0;veh155;355212053#1;veh_passenger
;;7.57;best;max;-1042966479;veh156;1385792557;veh_passenger
;;7.62;best;max;-1376949867#1;veh157;683379586#2;veh_passenger
;;7.67;best;max;1378646161;veh158;319899824#5;veh_passenger
;;7.72;best;;1384232031#1;veh159;-355212064#1;veh_passenger
;;7.77;best;;1367271683;veh160;-1217028261#0;veh_passenger
;;7.82;best;;221615232#1;veh161;315595435#21;veh_passenger
;;7.86;best;max;-1215282662;veh162;184750310#4;veh_passenger
;;7.91;best;;-218032586#18;veh163;-684343619;veh_passenger
;;7.96;best;;1370363142#11;veh164;-225803543#0;veh_passenger
;;8.01;best;max;-1042925588;veh165;-156032741#16;veh_passenger
;;8.06;best;;-1374079976#1;veh166;319899829#4;veh_passenger
;;8.11;best;;690782624#2;veh167;-446709214#2;veh_passenger
;;8.16;best;;1044804351;veh168;1046292294;veh_passenger
;;8.20;best;;858852294#0;veh169;1088328342#2;veh_passenger
;;8.25;best;;801453908#0-AddedOffRampEdge;veh170;-1388462265;veh_passenger
;;8.30;best;;682514747#10;veh171;-355212044#0;veh_passenger
;;8.35;best;;-1051023025#0;veh172;1050015294#3;veh_passenger
;;8.40;best;max;1216004331;veh173;-83229105#11;veh_passenger
;;8.45;best;max;-988553235#1;veh174;1055621024;veh_passenger
;;8.50;best;max;-1386935597;veh175;1216159284;veh_passenger
;;8.54;best;max;-1217254943;veh176;1383686357;veh_passenger
;;8.59;best;;-1041910262#0;veh177;641793526#32;veh_passenger
;;8.64;best;;-569640502#1;veh178;1383922338#2;veh_passenger
;;8.69;best;max;1217163937;veh179;1368648328#2;veh_passenger
;;8.74;best;max;-1383929085#1;veh180;-1071860464#5;veh_passenger
;;8.79;best;;-1358531912#0;veh181;26209723#10;veh_passenger
;;8.84;best;max;1213221486;veh182;-680419911#14;veh_passenger
;;8.88;best;max;-1322053864;veh183;1046585295;veh_passenger
;;8.93;best;max;-1389800141#1;veh184;-626812975#6;veh_passenger
;;8.98;best;max;-1053937974;veh185;1049706463;veh_passenger
;;9.03;best;;466855842#1;veh186;1370252429;veh_passenger
;;9.08;best;;319584658#10;veh187;1218993523;veh_passenger
;;9.13;best;max;-1315378953;veh188;1126944954;veh_passenger
;;9.18;best;max;-1003939717;veh189;-548937810#1;veh_passenger
;;9.22;best;;1047244309;veh190;1053935156;veh_passenger
;;9.27;best;;-158366247#3;veh191;-187802010#6;veh_passenger
;;9.32;best;;-231770262#7;veh192;44769992#14;veh_passenger
;;9.37;best;;1370367956#1;veh193;-1383716095;veh_passenger
;;9.42;best;;-1049852878;veh194;1071860462#1;veh_passenger
;;9.47;best;;1043817978#2;veh195;1041910268#1;veh_passenger
;;9.52;best;;1388744402;veh196;1388704734;veh_passenger
;;9.56;best;;1053914273#3;veh197;-221202411#17;veh_passenger
;;9.61;best;max;-1096239921;veh198;-1044700295#0;veh_passenger
;;9.66;best;max;-1217160263;veh199;1054260701#2;veh_passenger
;;9.71;best;;164420783#3;veh200;-1071867065#0;veh_passenger
;;9.76;best;max;-1391535803;veh201;1220468006;veh_passenger
;;9.81;best;max;-1089980513#1;veh202;1380695746;veh_passenger
;;9.85;best;;-320047929;veh203;-310880928#9;veh_passenger
;;9.90;best;;1047637760;veh204;-1042192054#1;veh_passenger
;;9.95;best;;1218450927;veh205;1391131497;veh_passenger
;;10.00;best;max;-1050991030;veh206;1049862893#1;veh_passenger
;;10.05;best;max;-1071867043;veh207;859182557;veh_passenger
;;10.10;best;;-379260331#15;veh208;-1051010631#0;veh_passenger
;;10.15;best;max;-1217164221;veh209;26209730#2;veh_passenger
;;10.19;best;;-187802010#5;veh210;158366244#1;veh_passenger
;;10.24;best;;1050973580#1;veh211;988530852;veh_passenger
;;10.29;best;max;-988203021;veh212;83229105#6;veh_passenger
;;10.34;best;;27189529#0;veh213;1218451457;veh_passenger
;;10.39;best;max;1468108932#0;veh214;1125566736;veh_passenger
;;10.44;best;;305943995#12;veh215;1387131542#2;veh_passenger
;;10.49;best;;-236722043#7;veh216;-334275828#5;veh_passenger
;;10.53;best;max;-1217163487;veh217;1252337441;veh_passenger
;;10.58;best;max;1226409522#0;veh218;1071869401;veh_passenger
;;10.63;best;;1042896337#0;veh219;-379260345#7;veh_passenger
;;10.68;best;max;-1049113084;veh220;-467554572#0;veh_passenger
;;10.73;best;;-1218994154#0;veh221;-865573709#4;veh_passenger
;;10.78;best;;-585729764;veh222;-1226409977#0;veh_passenger
;;10.83;best;;-1216159294#3;veh223;1380199816#1;veh_passenger
;;10.87;best;;1089702841;veh224;-1055092036#1;veh_passenger
;;10.92;best;max;-1390396728;veh225;1096239920#1;veh_passenger
;;10.97;best;;-1391751172#1;veh226;-163384949;veh_passenger
;;11.02;best;;-1392511134#0;veh227;466857087#3;veh_passenger
;;11.07;best;max;-902523999;veh228;1380681292;veh_passenger
;;11.12;best;;184750308#6;veh229;1390417760#3;veh_passenger
;;11.17;best;max;-1386019634;veh230;-1042241307#1;veh_passenger
;;11.21;best;;-1383245449#0;veh231;1388932827;veh_passenger
;;11.26;best;;172366588#7;veh232;849848482#1;veh_passenger
;;11.31;best;;-641793526#15;veh233;1217255156;veh_passenger
;;11.36;best;max;-1214533236;veh234;-219225824#1;veh_passenger
;;11.41;best;max;-1378635655;veh235;1370363140#0;veh_passenger
;;11.46;best;;-1389986732#2;veh236;-1379778470#1;veh_passenger
;;11.51;best;;-221207910#3;veh237;-1218993834;veh_passenger
;;11.55;best;;1042245448#0;veh238;-1046101224#0;veh_passenger
;;11.60;best;max;-1388516945#1;veh239;1213511696;veh_passenger
;;11.65;best;max;-1043565868;veh240;1291698417;veh_passenger
;;11.70;best;max;-1054354507#1;veh241;1053900914;veh_passenger
;;11.75;best;max;-1044804368;veh242;1044514929;veh_passenger
;;11.80;best;max;-1202905642;veh243;-924066824#2;veh_passenger
;;11.85;best;;1219080641;veh244;1044514930#0;veh_passenger
;;11.89;best;max;1218977811;veh245;221615241#10;veh_passenger
;;11.94;best;;-1042848923;veh246;1090970143;veh_passenger
;;11.99;best;;989872783#0;veh247;1042418415#2;veh_passenger
;;12.04;best;;1046496003#4;veh248;1394531242#1;veh_passenger
;;12.09;best;max;1046564429;veh249;1388984083#1;veh_passenger
;;12.14;best;;585612365;veh250;-158366236#31;veh_passenger
;;12.19;best;;-1042896330;veh251;-1343775587;veh_passenger
;;12.23;best;;-1053935170#1;veh252;1368621227;veh_passenger
;;12.28;best;max;-813609100;veh253;-218760418;veh_passenger
;;12.33;best;max;1083972171;veh254;1390632898#1;veh_passenger
;;12.38;best;;1217255647#1;veh255;-1217163517;veh_passenger
;;12.43;best;;1389304822;veh256;902523955#2;veh_passenger
;;12.48;best;;-1051023022#0;veh257;-1045129813#1;veh_passenger
;;12.52;best;max;-1353296710;veh258;1370252429;veh_passenger
;;12.57;best;;655791591#1;veh259;1046119862;veh_passenger
;;12.62;best;max;1201138579;veh260;-1071878436;veh_passenger
;;12.67;best;;1062883737#3;veh261;1219085662;veh_passenger
;;12.72;best;max;-1050950557#1;veh262;1391568185;veh_passenger
;;12.77;best;;164560140#2;veh263;1217250030;veh_passenger
;;12.82;best;max;-1053836020#2;veh264;988203027;veh_passenger
;;12.86;best;;132363044#0;veh265;1042241326;veh_passenger
;;12.91;best;;-1432202354#3;veh266;1043849463#7;veh_passenger
;;12.96;best;;-355210812#8;veh267;1042133609#0;veh_passenger
;;13.01;best;;164420778#2;veh268;209721150#0;veh_passenger
;;13.06;best;max;-1050973589;veh269;898458084#1;veh_passenger
;;13.11;best;;1044270614#3;veh270;220749511#3;veh_passenger
;;13.16;best;;1091270256#1;veh271;1050019353#1;veh_passenger
;;13.20;best;max;1216993031;veh272;902523968#2;veh_passenger
;;13.25;best;max;-1218993669;veh273;163371017#6;veh_passenger
;;13.30;best;;-569602213#0;veh274;1054403357;veh_passenger
;;13.35;best;;-156032747#3;veh275;1385710912;veh_passenger
;;13.40;best;max;-1218978429;veh276;27189536#6;veh_passenger
;;13.45;best;max;1468108951;veh277;-1097268508#3;veh_passenger
;;13.50;best;;239271492#2;veh278;-310880928#14;veh_passenger
;;13.54;best;;-219900680#9;veh279;1218443866;veh_passenger
;;13.59;best;max;-1385761625;veh280;-1046119838;veh_passenger
;;13.64;best;;170212181#24;veh281;-1390368225;veh_passenger
;;13.69;best;max;-1204606135#2;veh282;158349547;veh_passenger
;;13.74;best;max;-1380683493#2;veh283;355212036#10;veh_passenger
;;13.79;best;max;1084651009#0;veh284;-380332382#1;veh_passenger
;;13.84;best;max;-1042241314#1;veh285;825108510#8;veh_passenger
;;13.88;best;max;-1049862884#2;veh286;1383929080#1;veh_passenger
;;13.93;best;;-318106697#6;veh287;1389721341;veh_passenger
;;13.98;best;;1062883737#3;veh288;1303687675;veh_passenger
;;14.03;best;;-1049878345#1;veh289;-219780377#21;veh_passenger
;;14.08;best;max;1071860477#0;veh290;-689730976#5;veh_passenger
;;14.13;best;max;-902523953#6;veh291;1054260671;veh_passenger
;;14.18;best;;-548931358#1;veh292;1049862898;veh_passenger
;;14.22;best;max;1217255079;veh293;-988530920#0;veh_passenger
;;14.27;best;;1085269951#0;veh294;-355393319#4;veh_passenger
;;14.32;best;max;-1088091737;veh295;-1217255182;veh_passenger
;;14.37;best;;-569541658#2;veh296;1390027307;veh_passenger
;;14.42;best;max;-1083972163#1;veh297;-199050472#2;veh_passenger
;;14.47;best;;-279806903#1;veh298;1384560626#1;veh_passenger
;;14.52;best;;83229105#7;veh299;1071872408;veh_passenger
;;14.56;best;max;-1220236959;veh300;-1215977111#0;veh_passenger
;;14.61;best;max;-1089450247#1;veh301;-222000227#2;veh_passenger
;;14.66;best;max;-1071869415;veh302;-1043565881#1;veh_passenger
;;14.71;best;max;-548937847#1;veh303;-379260340#10;veh_passenger
;;14.76;best;;825108510#1;veh304;1189020226#4;veh_passenger
;;14.81;best;max;1071872434#0;veh305;-1218993532;veh_passenger
;;14.86;best;;219780380#4;veh306;1054636873#6;veh_passenger
;;14.90;best;;221615241#2;veh307;1216000770;veh_passenger
;;14.95;best;;-221619112#1;veh308;1050950552#4;veh_passenger
;;15.00;best;max;-1071878481;veh309;-1051074675;veh_passenger
;;15.05;best;max;467554567#0;veh310;1054354517;veh_passenger
;;15.10;best;;1390663466#1;veh311;1046397864;veh_passenger
;;15.15;best;max;-1047269660;veh312;1220467999;veh_passenger
;;15.20;best;max;-1045265893#2;veh313;-132070859#0;veh_passenger
;;15.24;best;max;-803660096;veh314;-684329427#1;veh_passenger
;;15.29;best;;924066824#0;veh315;-1217250020#1;veh_passenger
;;15.34;best;max;1225840026;veh316;1217255530;veh_passenger
;;15.39;best;;1369161863#0;veh317;-221615243#1;veh_passenger
;;15.44;best;;-442582332#2;veh318;1051074686;veh_passenger
;;15.49;best;;-158367054#4;veh319;318106697#16;veh_passenger
;;15.53;best;;902920473#12;veh320;-684343621#0;veh_passenger
;;15.58;best;;1042208475;veh321;1218441174;veh_passenger
;;15.63;best;max;1217160338;veh322;825108510#3;veh_passenger
;;15.68;best;max;-1153978206;veh323;-176068096#0;veh_passenger
;;15.73;best;;1049852854#0;veh324;-1369506921#0;veh_passenger
;;15.78;best;;-1071865158#0;veh325;-1071872413#1;veh_passenger
;;15.83;best;;-1041987273#1;veh326;1051074686;veh_passenger
;;15.87;best;max;-988202997#1;veh327;-569579299#2;veh_passenger
;;15.92;best;max;1085275908;veh328;1051237667#1;veh_passenger
;;15.97;best;;1055120459#2;veh329;630852398#5;veh_passenger
;;16.02;best;;1368287417#1;veh330;1219075122;veh_passenger
;;16.07;best;max;1049862889;veh331;684342521#5;veh_passenger
;;16.12;best;max;-1418669381;veh332;1103143732;veh_passenger
;;16.17;best;;1046397072#2;veh333;548937829#6;veh_passenger
;;16.21;best;;1393490384-AddedOnRampEdge;veh334;-1071865187;veh_passenger
;;16.26;best;;-1055131822#0;veh335;-690917726#1;veh_passenger
;;16.31;best;max;1218184209;veh336;1215329063;veh_passenger
;;16.36;best;max;-1226409526;veh337;-1218454018;veh_passenger
;;16.41;best;;1055299293#1;veh338;1381930629#6;veh_passenger
;;16.46;best;;-320044849#3;veh339;-1084985577;veh_passenger
;;16.51;best;max;-1044464386#6;veh340;1049878347#1;veh_passenger
;;16.55;best;;-1369516849;veh341;-319977059#5;veh_passenger
;;16.60;best;max;-1049877265#7;veh342;898458100;veh_passenger
;;16.65;best;;156032781#2;veh343;1216004328#1;veh_passenger
;;16.70;best;;585630244#1;veh344;988560873#2;veh_passenger
;;16.75;best;;1053907525#0;veh345;-355393292#3;veh_passenger
;;16.80;best;;-1044509117#0;veh346;1389246712#1;veh_passenger
;;16.85;best;;-229907201#2;veh347;131937279#7;veh_passenger
;;16.89;best;;354991391#1;veh348;-1389996752;veh_passenger
;;16.94;best;max;-902920476#2;veh349;1226409983;veh_passenger
;;16.99;best;max;-319899816;veh350;-1201138582#1;veh_passenger
;;17.04;best;max;-1382279710;veh351;1041902100#0;veh_passenger
;;17.09;best;;1051237667#0;veh352;310880928#8;veh_passenger
;;17.14;best;max;-1375561998;veh353;1379958697#3;veh_passenger
;;17.19;best;max;-1226409521#1;veh354;813611690#1;veh_passenger
;;17.23;best;;1385710911#0;veh355;1148873911;veh_passenger
;;17.28;best;;-184165616#16;veh356;-841957963#1;veh_passenger
;;17.33;best;;-1369859097#1;veh357;902920463#12;veh_passenger
;;17.38;best;;-1389986730#0;veh358;1071860443;veh_passenger
;;17.43;best;;902920450;veh359;132084004#1;veh_passenger
;;17.48;best;;-626812978#4;veh360;1047458858;veh_passenger
;;17.53;best;;-1084027866;veh361;1042966484#1;veh_passenger
;;17.57;best;max;1218994243;veh362;1219079887;veh_passenger
;;17.62;best;;1219041100#1;veh363;-158711852#20;veh_passenger
;;17.67;best;;-680419912#3;veh364;680419911#17;veh_passenger
;;17.72;best;;-158315143#2;veh365;1381084651#1;veh_passenger
;;17.77;best;max;-1053836024;veh366;902926802;veh_passenger
;;17.82;best;max;-988553274;veh367;-265010625#1;veh_passenger
;;17.87;best;;-1055092043#1;veh368;1152597771#1;veh_passenger
;;17.91;best;max;-684330789;veh369;-1212935884;veh_passenger
;;17.96;best;;903241449#0;veh370;569579299#5;veh_passenger
;;18.01;best;;-218858282#29;veh371;-1217249807#0;veh_passenger
;;18.06;best;;155838431#6;veh372;1055088760#0;veh_passenger
;;18.11;best;;1208867605#7;veh373;1055131830;veh_passenger
;;18.16;best;;-1219040327#1;veh374;22838354#4;veh_passenger
;;18.20;best;;851490769#3;veh375;-310880285#9;veh_passenger
;;18.25;best;;-682514747#15;veh376;1044576077#2;veh_passenger
;;18.30;best;;355214590#2;veh377;1055130144;veh_passenger
;;18.35;best;;231770251#2;veh378;319899824#3;veh_passenger
;;18.40;best;max;-1219040457;veh379;155831668#10;veh_passenger
;;18.45;best;max;-1391551125#1;veh380;684343791#0;veh_passenger
;;18.50;best;max;-355212044#1;veh381;199043533#4;veh_passenger
;;18.54;best;max;-1220236957;veh382;-641793526#38;veh_passenger
;;18.59;best;max;-903009073;veh383;988553295;veh_passenger
;;18.64;best;;-318725571#1;veh384;-132070844#5;veh_passenger
;;18.69;best;max;-569640933;veh385;1042208476;veh_passenger
;;18.74;best;max;-683448179#4;veh386;1096889857;veh_passenger
;;18.79;best;;-184750308#4;veh387;-898458126#1;veh_passenger
;;18.84;best;max;-1084651012;veh388;1381036557#2;veh_passenger
;;18.88;best;;-849848496#1;veh389;-239454850#1;veh_passenger
;;18.93;best;;131937270#1;veh390;-1049873881#2;veh_passenger
;;18.98;best;;1217249893#1;veh391;1382520943;veh_passenger
;;19.03;best;;1384538927;veh392;1044700297#1;veh_passenger
;;19.08;best;;1049878342#0;veh393;199043535#1;veh_passenger
;;19.13;best;max;85695033#0;veh394;1055065995#0;veh_passenger
;;19.18;best;;-1044435226;veh395;1055098832;veh_passenger
;;19.22;best;;-951475215#1;veh396;322197513#2;veh_passenger
;;19.27;best;;221619117;veh397;1050950550#1;veh_passenger
;;19.32;best;;-446711243#1;veh398;1052654328;veh_passenger
;;19.37;best;;1214275124;veh399;1046942879#2;veh_passenger
;;19.42;best;;1047269659#1;veh400;-1368291811;veh_passenger
;;19.47;best;;-221619118#3;veh401;902920449#4;veh_passenger
;;19.52;best;max;-1380621061;veh402;1379268560;veh_passenger
;;19.56;best;;1046482198;veh403;27189536#9;veh_passenger
;;19.61;best;max;-1386018376;veh404;-849848494#6;veh_passenger
;;19.66;best;;221615238#0;veh405;-1046874215#0;veh_passenger
;;19.71;best;max;-1046564424;veh406;1224696690;veh_passenger
;;19.76;best;max;355212058;veh407;988553274;veh_passenger
;;19.81;best;max;1217255342;veh408;1049880666#1;veh_passenger
;;19.86;best;max;-1050218230;veh409;1226409517#2;veh_passenger
;;19.90;best;;221615240#1;veh410;1050973574;veh_passenger
;;19.95;best;max;-1044576079;veh411;158306185#1;veh_passenger
;;20.00;best;max;-1266142058#4;veh412;1044462481;veh_passenger
;;20.05;best;max;-1054408533;veh413;1084651012;veh_passenger
;;20.10;best;max;-825413945;veh414;156023388;veh_passenger
;;20.15;best;;-1061113475#0;veh415;-1084027868#1;veh_passenger
;;20.20;best;;221183559#0;veh416;1219040334;veh_passenger
;;20.24;best;max;-1217034521;veh417;569579299#3;veh_passenger
;;20.29;best;max;-1054406160#2;veh418;1053900906#1;veh_passenger
